NO;ACCREDITATION;DOI;TITLE;JOURNAL;PUBLISHER;DATE PUBLISH;
143;S4;DOI: 10.24252/assets.v10i1.14759;EFEK MEDIASI PERILAKU KEUANGAN DAN DAMPAK KEPUASAN KEUANGAN MASYARAKAT DI KOTA MAKASSAR;Assets: Jurnal Ekonomi, Manajemen, dan Akuntansi;Universitas Islam Negeri Alauddin Makassar;2020-07-18;
144;S2;DOI: 10.22373/ej.v7i2.6472;EFL learners' difficulties in the structure and written expression section of TOEFL test in an Indonesian university;Englisia: Journal of Language, Education, and Humanities;Universitas Islam Negeri Banda Aceh;2020-07-02;
145;S3;DOI: 10.14421/jsr.v15i1.1955;FORMAT PEMILU SERENTAK PASCA PUTUSAN MK NO. 55/2019: Kajian dan Analisis Sosiologi Politik;Jurnal Sosiologi Reflektif;Universitas Islam Negeri Sunan Kalijaga Yogyakarta;2020-11-09;
146;-;DOI: 10.24252/asma.v2i1.13458;IMPLEMENTASI STRATEGI BELAJAR KOOPERATIF MURDER TERHADAP PEMAHAMAN KONSEP FISIKA PESERTA DIDIK;Al Asma: Journal of Islamic Education;Faculty of Tarbiyah and Teacher Training;2020-05-31;
147;-;DOI: 10.24252/ajme.v2i2.17240;Tingkat Kesiapan Penerapan E-Learning Jurusan Pendidikan Matematika;Alauddin Journal of Mathematics Education;Department of Mathematics Education;2020-11-29;
148;S4;DOI: 10.24252/jpf.v8i2.14202;PENGEMBANGAN MULTIMEDIA INTERAKTIF FISIKA BERBASIS MOBILE LEARNING PENGGUNAAN WEBSITE BUILDER;JPF (Jurnal Pendidikan Fisika) Universitas Islam Negeri Alauddin Makassar;Pendidikan Fisika UIN Alauddin Makassar;2020-10-05;
149;-;;ANALISIS EFEKTIVITAS IMPLEMENTASI BUDAYA LITERASI DI MIN 1 KOTA MAKASSAR;JIPMI (Jurnal Ilmiah Pendidikan Madrasah Ibtidaiyah);Universitas Islam Negeri Alauddin Makassar;2020-08-18;
150;-;DOI: 10.24252/asma.v2i1.13361;PROFIL GURU HARAPAN MASA DEPAN;Al Asma: Journal of Islamic Education;Faculty of Tarbiyah and Teacher Training;2020-05-31;
151;-;DOI: 10.24252/asma.v2i2.16915;PENANAMAN NILAI-NILAI PENDIDIKAN ISLAM DALAM PEMBINAAN KARAKTER PESERTA DIDIK;Al Asma: Journal of Islamic Education;Faculty of Tarbiyah and Teacher Training;2020-11-28;
152;S5;DOI: 10.24252/jft.v7i1.13484;STUDI ANALISIS KOEFISIEN ABSORBSI PAPAN AKUSTIK PADA KETEBALAN BERVARIASI BERBAHAN DASAR LIMBAH KULIT JAGUNG DAN SABUT KELAPA (SOLUSI ALTERNATIF RAMAH LINGKUNGAN);JFT : Jurnal Fisika dan Terapannya;Universitas Islam Negeri Alauddin Makassar;2020-11-03;
153;S5;DOI: 10.24252/jft.v7i2.18468;APLIKASI SISTEM INFORMASI GEOGRAFI (SIG) DAN METODE GEOLISTRIK DALAM PEMBUATAN PETA RAWAN LONGSOR DI KECAMATAN ALLA KABUPATEN ENREKANG;JFT : Jurnal Fisika dan Terapannya;Universitas Islam Negeri Alauddin Makassar;2021-01-29;
154;S5;DOI: 10.24252/jft.v7i2.15921;STUDI KONDISI ANGIN DAN GELOMBANG LAUT DI PELABUHAN PANTOLOAN, PALU SULAWESI TENGAH;JFT : Jurnal Fisika dan Terapannya;Universitas Islam Negeri Alauddin Makassar;2020-12-31;
155;S4;;Pemanfaatan Kembali Pelayanan Kesehatan Oleh Pasien Umum Rawat Inap di Rumah Sakit Syekh Yusuf Tahun 2019;HIGIENE: Jurnal Kesehatan Lingkungan;Public Health Department, Universitas Islam Negeri Alauddin Makassar;2020-06-08;
156;S4;;Sumber dan Kondisi Fisik Air Bersih dengan Kejadian Diare di wilayah Kerja Puskesmas X Kabupaten Pinrang;HIGIENE: Jurnal Kesehatan Lingkungan;Public Health Department, Universitas Islam Negeri Alauddin Makassar;2020-12-25;
157;S4;;Faktor Risiko Kejadian TB Paru di Desa Gunturu Kecamatan Herlang Kabupaten Bulukumba;HIGIENE: Jurnal Kesehatan Lingkungan;Public Health Department, Universitas Islam Negeri Alauddin Makassar;2020-12-25;
158;S2;DOI: 10.33096/atestasi.v3i1.404;The Importance of Account Representative Services and Tax Law Enforcement;ATESTASI - Jurnal Ilmiah Akuntansi;Pusat Penerbitan dan Publikasi Ilmiah Fakultas Ekonomi dan Bisnis Universitas Muslim Indonesia;2020-03-19;
159;S4;DOI: 10.21831/jpai.v18i2.35345;PENGARUH BLENDED LEARNING TERHADAP AKTIVITAS BELAJAR DAN HASIL BELAJAR MAHASISWA AKUNTANSI;Jurnal Pendidikan Akuntansi Indonesia;Universitas Negeri Yogyakarta;2020-12-06;
160;S2;DOI: 10.24252/lp.2020v23n2i1.;THE EFFECTIVENESS OF THE BLENDED LEARNING MODEL ON THE STUDENTSâ CRITICAL THINKING SKILLS AND LEARNING MOTIVATION IN ACCOUNTING DEPARTMENT;Lentera Pendidikan : Jurnal Ilmu Tarbiyah dan Keguruan;Faculty of Tarbiyah and Teacher Training Universitas Islam Negeri Alauddin Makassar;2020-12-27;
